date,category,Exports_US$,volume,unit_price
7/1/2021,Bedwear,263343000,40634,6.480853472
7/1/2021,Towels,77819000,16295,4.775636698
7/1/2021,"Tents, Tarpaulines",6610000,2134,
7/1/2021,Garments,301188000,3709000,81.20463737
7/1/2021,Artificial Silk & Synthetics,32362000,7052,
7/1/2021,Madeups (excl. towels & bedwear),67086000,19623,
7/1/2021,Other Textiles,57537000,40532,
8/1/2021,Raw Cotton,0,0,
8/1/2021,Cotton Yarn,103518000,32880,3.148357664
8/1/2021,Cotton Cloth,188181000,46170000,
8/1/2021,Cotton Crd/Cmd,382000,303,
8/1/2021,Non-Cotton Yarn,4907000,1794,
8/1/2021,Knitwear,364172000,10379000,35.08738799
8/1/2021,Bedwear,264764000,46678,5.672136767
8/1/2021,Towels,82794000,19531,4.239107061
8/1/2021,"Tents, Tarpaulines",5637000,2144,
8/1/2021,Garments,283760000,3353000,84.62869072
8/1/2021,Artificial Silk & Synthetics,36842000,9576,
8/1/2021,Madeups (excl. towels & bedwear),66090000,0,
8/1/2021,Other Textiles,61706000,0,
9/1/2021,Raw Cotton,0,0,
9/1/2021,Cotton Yarn,95228000,28896,3.295542636
9/1/2021,Cotton Cloth,189457000,37623000,
9/1/2021,Cotton Crd/Cmd,703000,481,
9/1/2021,Non-Cotton Yarn,4656000,1673,
9/1/2021,Knitwear,388053000,10903000,35.59139686
9/1/2021,Bedwear,275150000,48010,5.731097688
9/1/2021,Towels,80693000,16968,4.755598774
9/1/2021,"Tents, Tarpaulines",8926000,2995,
9/1/2021,Garments,276240000,3293000,83.8870331
9/1/2021,Artificial Silk & Synthetics,38744000,9428,
9/1/2021,Madeups (excl. towels & bedwear),64071000,0,
9/1/2021,Other Textiles,65311000,0,
10/1/2021,Raw Cotton,0,0,
10/1/2021,Cotton Yarn,106148000,31991,3.318058204
10/1/2021,Cotton Cloth,183630000,31165000,0
10/1/2021,Cotton Crd/Cmd,69000,51,0
10/1/2021,Non-Cotton Yarn,4814000,1759,0
10/1/2021,Knitwear,457191000,12181000,37.53312536
10/1/2021,Bedwear,287865000,42835,6.720322166
10/1/2021,Towels,82078000,16692,4.917205847
10/1/2021,"Tents, Tarpaulines",9633000,3057,0
10/1/2021,Garments,297435000,3548000,83.83173619
10/1/2021,Artificial Silk & Synthetics,35373000,7902,0
10/1/2021,Madeups (excl. towels & bedwear),71155000,22454,0
10/1/2021,Other Textiles,65543000,48791,0
